NAME                                     VERSION              TYPE      
alpine                                   baselayout           apk       
alpine                                   baselayout           apk       
alpine                                   keys                 apk       
alpine                                   release              apk       
apk                                      tools                apk       
bash                                     5.2.26               apk       
brotli                                   libs                 apk       
busybox                                  1.36.1               apk       
busybox                                  binsh                apk       
c                                        ares                 apk       
ca                                       certificates         apk       
ca                                       certificates         apk       
catatonit                                0.2.0                apk       
coreutils                                9.5                  apk       
coreutils                                env                  apk       
coreutils                                fmt                  apk       
coreutils                                sha512sum            apk       
curl                                     8.7.1                apk       
findutils                                4.9.0                apk       
jq                                       1.7.1                apk       
libacl                                   2.3.2                apk       
libattr                                  2.5.2                apk       
libbsd                                   0.12.2               apk       
libcrypto3                               3.3.0                apk       
libcurl                                  8.7.1                apk       
libidn2                                  2.3.7                apk       
libintl                                  0.22.5               apk       
libmd                                    1.1.0                apk       
libncursesw                              6.4_p20240420        apk       
libproc2                                 4.0.4                apk       
libpsl                                   0.21.5               apk       
libssl3                                  3.3.0                apk       
libunistring                             1.2                  apk       
linux                                    pam                  apk       
musl                                     1.2.5                apk       
musl                                     utils                apk       
ncurses                                  terminfo             apk       
netcat                                   openbsd              apk       
nghttp2                                  libs                 apk       
oniguruma                                6.9.9                apk       
procps                                   ng                   apk       
readline                                 8.2.10               apk       
scanelf                                  1.3.7                apk       
shadow                                   4.15.1               apk       
skalibs                                  2.14.1.1             apk       
ssl_client                               1.36.1               apk       
tzdata                                   2024a                apk       
utmps                                    libs                 apk       
zlib                                     1.3.1                apk       
zstd                                     libs                 apk       
